molecule,phase,S1_eV,T1_eV,T2_eV,delta_EST_eV,T1_T2_gap_eV
2CzPN,gas,3.652,3.039,3.464,0.613,0.425
2CzPN,toluene,3.632,3.011,3.459,0.621,0.448
2CzTPE,gas,3.496,2.353,2.767,1.143,0.414
2CzTPE,toluene,3.411,2.369,2.788,1.042,0.419
2PXZP,gas,3.292,2.825,3.08,0.467,0.255
2PXZP,toluene,3.343,2.858,3.139,0.485,0.281
4CzIPN,gas,3.377,3.016,3.05,0.361,0.034
4CzIPN,toluene,3.343,3.008,3.026,0.335,0.018
ACRFLCN,gas,3.597,3.007,3.548,0.59,0.541
ACRFLCN,toluene,3.546,2.998,3.536,0.548,0.538
ACRSA,gas,3.769,3.322,3.513,0.447,0.191
ACRSA,toluene,3.746,3.374,3.5,0.372,0.126
APPT-PXZ,gas,2.701,2.351,2.734,0.35,0.383
BACN,gas,3.713,2.722,3.533,0.991,0.811
BACN,toluene,3.629,2.708,3.503,0.921,0.795
BBPA,gas,3.553,2.032,3.525,1.521,1.493
BBPA,toluene,3.458,2.025,3.526,1.433,1.501
BMZ-TZ,gas,3.73,2.792,3.18,0.938,0.388
BMZ-TZ,toluene,3.896,2.963,3.142,0.933,0.179
DMAC-DPS,gas,3.637,3.449,3.508,0.188,0.059
DMAC-DPS,toluene,3.678,3.471,3.538,0.207,0.067
DMAC-TRZ,gas,3.509,3.248,3.504,0.261,0.256
DMAC-TRZ,toluene,3.533,3.262,3.509,0.271,0.247
PXZ-NAI,gas,2.688,2.333,2.836,0.355,0.503
PXZ-NAI,toluene,2.65,2.29,2.829,0.36,0.539
TPA-APy,gas,3.555,2.679,2.823,0.876,0.144
TPA-APy,toluene,3.425,2.66,2.795,0.765,0.135
